name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Float,	   FALSE,		Subtract,		1,			 10000,				1000,				1,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 10000,				2000,				3,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 10000,				3000,				4,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 10000,				4000,				4,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 10000,				5000,				6,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 20000,				1000,				2,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 20000,				2000,				5,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 20000,				3000,				8,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 20000,				4000,				9,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 20000,				5000,				11,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 30000,				1000,				3,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 30000,				2000,				7,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 30000,				3000,				11,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 30000,				4000,				15,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 30000,				5000,				18,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 40000,				1000,				5,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 40000,				2000,				10,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 40000,				3000,				15,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 40000,				4000,				20,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 40000,				5000,				25,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 50000,				1000,				8,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 50000,				2000,				12,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 50000,				3000,				18,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 50000,				4000,				45,			
inteli7,	   Float,	   FALSE,		Subtract,		1,			 50000,				5000,				44,			

