name,		 DataType,	 isBoxed,	 operation,	 Repetition,	 ArrayLength	 CycleNumber,	 RunTime,	
inteli7,	   Integer,	   FALSE,		Add,		0,			 10000,				1000,				7,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 10000,				2000,				4,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 10000,				3000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 10000,				4000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 10000,				5000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 20000,				1000,				2,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 20000,				2000,				4,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 20000,				3000,				7,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 20000,				4000,				12,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 20000,				5000,				14,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 30000,				1000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 30000,				2000,				7,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 30000,				3000,				10,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 30000,				4000,				14,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 30000,				5000,				18,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 40000,				1000,				5,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 40000,				2000,				9,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 40000,				3000,				14,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 40000,				4000,				18,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 40000,				5000,				24,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 50000,				1000,				6,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 50000,				2000,				11,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 50000,				3000,				23,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 50000,				4000,				23,			
inteli7,	   Integer,	   FALSE,		Add,		0,			 50000,				5000,				31,			

